ASSERTION	AAECAAMGAAAAAAAAAFRAAAAAAAAAWUAB
RUN	serveur.controller.LoadTest	loadtest	1558261487107	 	3.1.2
REQUEST	51		TryConnect	1558261491280	1558261491295	OK	 
USER	TryConnect	51	END	1558261491279	1558261491297
USER	TryConnect	52	START	1558261491329	1558261491329
REQUEST	52		TryConnect	1558261491330	1558261491337	OK	 
USER	TryConnect	52	END	1558261491329	1558261491338
USER	TryConnect	53	START	1558261491387	1558261491387
REQUEST	53		TryConnect	1558261491389	1558261491404	OK	 
USER	TryConnect	53	END	1558261491387	1558261491406
USER	TryConnect	54	START	1558261491436	1558261491436
REQUEST	54		TryConnect	1558261491438	1558261491454	OK	 
USER	TryConnect	54	END	1558261491436	1558261491456
USER	TryConnect	55	START	1558261491482	1558261491482
REQUEST	55		TryConnect	1558261491483	1558261491490	OK	 
USER	TryConnect	55	END	1558261491482	1558261491491
USER	TryConnect	56	START	1558261491529	1558261491529
REQUEST	56		TryConnect	1558261491531	1558261491545	OK	 
USER	TryConnect	56	END	1558261491529	1558261491547
USER	TryConnect	57	START	1558261491579	1558261491579
REQUEST	57		TryConnect	1558261491581	1558261491597	OK	 
USER	TryConnect	57	END	1558261491579	1558261491599
USER	TryConnect	58	START	1558261491639	1558261491639
REQUEST	58		TryConnect	1558261491640	1558261491649	OK	 
USER	TryConnect	58	END	1558261491639	1558261491650
USER	TryConnect	59	START	1558261491685	1558261491685
REQUEST	59		TryConnect	1558261491686	1558261491696	OK	 
USER	TryConnect	59	END	1558261491685	1558261491697
USER	TryConnect	60	START	1558261491733	1558261491733
REQUEST	60		TryConnect	1558261491734	1558261491749	OK	 
USER	TryConnect	60	END	1558261491733	1558261491750
USER	TryConnect	61	START	1558261491779	1558261491779
REQUEST	61		TryConnect	1558261491780	1558261491791	OK	 
USER	TryConnect	61	END	1558261491779	1558261491792
USER	TryConnect	62	START	1558261491810	1558261491810
REQUEST	62		TryConnect	1558261491811	1558261491823	OK	 
USER	TryConnect	62	END	1558261491810	1558261491824
USER	TryConnect	63	START	1558261491859	1558261491859
REQUEST	63		TryConnect	1558261491860	1558261491868	OK	 
USER	TryConnect	63	END	1558261491859	1558261491869
USER	TryConnect	64	START	1558261491909	1558261491909
REQUEST	64		TryConnect	1558261491910	1558261491916	OK	 
USER	TryConnect	64	END	1558261491909	1558261491916
USER	TryConnect	65	START	1558261491967	1558261491967
REQUEST	65		TryConnect	1558261491969	1558261491987	OK	 
USER	TryConnect	65	END	1558261491967	1558261491988
USER	TryConnect	66	START	1558261492014	1558261492014
REQUEST	66		TryConnect	1558261492015	1558261492022	OK	 
USER	TryConnect	66	END	1558261492014	1558261492023
USER	TryConnect	67	START	1558261492061	1558261492061
REQUEST	67		TryConnect	1558261492062	1558261492071	OK	 
USER	TryConnect	67	END	1558261492061	1558261492072
USER	TryConnect	68	START	1558261492109	1558261492109
REQUEST	68		TryConnect	1558261492110	1558261492121	OK	 
USER	TryConnect	68	END	1558261492109	1558261492122
USER	TryConnect	69	START	1558261492159	1558261492159
REQUEST	69		TryConnect	1558261492160	1558261492176	OK	 
USER	TryConnect	69	END	1558261492159	1558261492177
USER	TryConnect	70	START	1558261492217	1558261492217
REQUEST	70		TryConnect	1558261492218	1558261492224	OK	 
USER	TryConnect	70	END	1558261492217	1558261492224
USER	TryConnect	71	START	1558261492264	1558261492264
REQUEST	71		TryConnect	1558261492264	1558261492272	OK	 
USER	TryConnect	71	END	1558261492264	1558261492273
USER	TryConnect	72	START	1558261492310	1558261492310
REQUEST	72		TryConnect	1558261492311	1558261492317	OK	 
USER	TryConnect	72	END	1558261492310	1558261492317
USER	TryConnect	73	START	1558261492359	1558261492359
REQUEST	73		TryConnect	1558261492360	1558261492369	OK	 
USER	TryConnect	73	END	1558261492359	1558261492370
USER	TryConnect	74	START	1558261492409	1558261492409
REQUEST	74		TryConnect	1558261492409	1558261492415	OK	 
USER	TryConnect	74	END	1558261492409	1558261492416
USER	TryConnect	75	START	1558261492467	1558261492467
REQUEST	75		TryConnect	1558261492468	1558261492483	OK	 
USER	TryConnect	75	END	1558261492467	1558261492484
USER	TryConnect	76	START	1558261492514	1558261492514
REQUEST	76		TryConnect	1558261492515	1558261492526	OK	 
USER	TryConnect	76	END	1558261492514	1558261492527
USER	TryConnect	77	START	1558261492561	1558261492561
REQUEST	77		TryConnect	1558261492562	1558261492571	OK	 
USER	TryConnect	77	END	1558261492561	1558261492572
USER	TryConnect	78	START	1558261492609	1558261492609
REQUEST	78		TryConnect	1558261492610	1558261492640	OK	 
USER	TryConnect	78	END	1558261492609	1558261492640
USER	TryConnect	79	START	1558261492659	1558261492659
REQUEST	79		TryConnect	1558261492660	1558261492668	OK	 
USER	TryConnect	79	END	1558261492659	1558261492668
USER	TryConnect	80	START	1558261492717	1558261492717
REQUEST	80		TryConnect	1558261492718	1558261492733	OK	 
USER	TryConnect	80	END	1558261492717	1558261492734
USER	TryConnect	81	START	1558261492764	1558261492764
REQUEST	81		TryConnect	1558261492766	1558261492790	OK	 
USER	TryConnect	81	END	1558261492764	1558261492791
USER	TryConnect	82	START	1558261492829	1558261492829
REQUEST	82		TryConnect	1558261492830	1558261492837	OK	 
USER	TryConnect	82	END	1558261492829	1558261492837
USER	TryConnect	83	START	1558261492889	1558261492889
REQUEST	83		TryConnect	1558261492890	1558261492903	OK	 
USER	TryConnect	83	END	1558261492889	1558261492904
USER	TryConnect	84	START	1558261492936	1558261492936
REQUEST	84		TryConnect	1558261492937	1558261492953	OK	 
USER	TryConnect	84	END	1558261492936	1558261492955
USER	TryConnect	85	START	1558261492982	1558261492982
REQUEST	85		TryConnect	1558261492984	1558261492995	OK	 
USER	TryConnect	85	END	1558261492982	1558261492996
USER	TryConnect	86	START	1558261493029	1558261493029
REQUEST	86		TryConnect	1558261493031	1558261493048	OK	 
USER	TryConnect	86	END	1558261493029	1558261493050
USER	TryConnect	87	START	1558261493079	1558261493079
REQUEST	87		TryConnect	1558261493080	1558261493089	OK	 
